unique_value,ecc_count
0.000000,1
20.000000,1
35.000000,1
42.000000,1
47.000000,1
49.000000,1
50.000000,1
53.000000,1
54.000000,1
60.000000,1
64.000000,1
65.000000,1
67.000000,2
68.000000,2
69.000000,1
74.000000,1
81.000000,1
84.000000,1
85.000000,1
86.000000,1
88.000000,1
89.000000,2
90.000000,1
91.000000,2
92.000000,2
93.000000,3
97.000000,1
99.000000,1
100.000000,2
101.000000,2
102.000000,1
103.000000,2
104.000000,1
105.000000,1
106.000000,4
107.000000,2
108.000000,2
109.000000,2
110.000000,2
111.000000,1
112.000000,2
113.000000,3
114.000000,2
115.000000,3
116.000000,4
117.000000,4
118.000000,5
119.000000,3
120.000000,3
121.000000,2
122.000000,7
123.000000,4
124.000000,5
125.000000,6
126.000000,3
127.000000,2
128.000000,4
129.000000,3
130.000000,12
131.000000,5
132.000000,3
133.000000,3
134.000000,6
135.000000,7
136.000000,2
137.000000,2
138.000000,7
139.000000,10
140.000000,4
141.000000,4
142.000000,8
143.000000,5
144.000000,6
145.000000,5
146.000000,8
147.000000,9
148.000000,9
149.000000,3
150.000000,6
151.000000,9
152.000000,6
153.000000,10
154.000000,7
155.000000,12
156.000000,13
157.000000,16
158.000000,12
159.000000,9
160.000000,11
161.000000,16
162.000000,11
163.000000,17
164.000000,17
165.000000,17
166.000000,20
167.000000,6
168.000000,8
169.000000,15
170.000000,14
171.000000,19
172.000000,17
173.000000,22
174.000000,15
175.000000,16
176.000000,23
177.000000,14
178.000000,27
179.000000,18
180.000000,22
181.000000,26
182.000000,15
183.000000,20
184.000000,27
185.000000,25
186.000000,32
187.000000,32
188.000000,31
189.000000,30
190.000000,36
191.000000,32
192.000000,37
193.000000,38
194.000000,28
195.000000,37
196.000000,34
197.000000,35
198.000000,52
199.000000,58
200.000000,39
201.000000,27
202.000000,33
203.000000,51
204.000000,47
205.000000,58
206.000000,45
207.000000,50
208.000000,42
209.000000,52
210.000000,63
211.000000,58
212.000000,61
213.000000,67
214.000000,61
215.000000,79
216.000000,62
217.000000,69
218.000000,70
219.000000,66
220.000000,68
221.000000,80
222.000000,59
223.000000,85
224.000000,89
225.000000,82
226.000000,76
227.000000,92
228.000000,72
229.000000,84
230.000000,88
231.000000,93
232.000000,96
233.000000,122
234.000000,94
235.000000,115
236.000000,114
237.000000,126
238.000000,129
239.000000,116
240.000000,119
241.000000,115
242.000000,129
243.000000,130
244.000000,141
245.000000,106
246.000000,125
